Date,AccountId,MaskedAccount,AccountLabel,TradeCashFlow,IncomeCashFlow,ExternalTransferCashFlow,InternalTransferCashFlow,SweepCashFlow,OtherCashFlow,NetCashActivityExcludingSweep,NetCashActivityIncludingSweep,BoughtAmount,SoldAmount,DividendAmount,InterestAmount,MarginInterestAmount,Fees,Commissions,ActivityRowCount,SourceHistoryRows
2026-05-28,900001001,x1001,Traditional IRA - x1001,382.62,9.28,0.00,0.00,0.00,0.00,391.90,391.90,4871.97,5254.59,9.28,0.00,0.00,0.00,0.12,34,34
2026-05-29,900001001,x1001,Traditional IRA - x1001,-4560.42,30.83,0.00,0.00,0.00,-0.49,-4530.08,-4530.08,21018.84,16458.42,30.81,0.02,0.00,0.00,0.86,102,102
2026-06-01,900001001,x1001,Traditional IRA - x1001,2802.82,8.35,0.00,0.00,0.00,0.00,2811.17,2811.17,4234.24,7037.06,8.35,0.00,0.00,0.00,0.16,44,44
2026-06-02,900001001,x1001,Traditional IRA - x1001,19655.08,0.00,0.00,0.00,0.00,0.00,19655.08,19655.08,13909.59,33564.67,0.00,0.00,0.00,0.00,1.72,126,126
2026-06-03,900001001,x1001,Traditional IRA - x1001,-19119.51,8.25,0.00,0.00,0.00,0.00,-19111.27,-19111.27,24896.99,5777.47,8.25,0.00,0.00,0.00,0.13,90,90
2026-06-04,900001001,x1001,Traditional IRA - x1001,27766.13,2.32,0.00,0.00,0.00,0.00,27768.46,27768.46,4407.33,32173.46,2.32,0.00,0.00,0.00,1.18,53,53
2026-06-05,900001001,x1001,Traditional IRA - x1001,-11834.06,2.09,0.00,0.00,0.00,0.00,-11831.97,-11831.97,11834.06,0.00,2.09,0.00,0.00,0.00,0.00,27,27
2026-06-08,900001001,x1001,Traditional IRA - x1001,-16504.55,16.38,0.00,0.00,0.00,0.00,-16488.18,-16488.18,34682.24,18177.69,16.38,0.00,0.00,0.00,0.40,109,109
2026-06-09,900001001,x1001,Traditional IRA - x1001,10970.94,0.82,0.00,0.00,0.00,0.00,10971.76,10971.76,14450.88,25421.82,0.82,0.00,0.00,0.00,1.54,100,100
2026-06-10,900001001,x1001,Traditional IRA - x1001,2823.34,2.75,0.00,0.00,0.00,0.00,2826.09,2826.09,24270.04,27093.38,2.75,0.00,0.00,0.00,1.08,83,83
2026-06-11,900001001,x1001,Traditional IRA - x1001,26093.91,9.74,0.00,0.00,0.00,0.00,26103.65,26103.65,17566.37,43660.28,9.74,0.00,0.00,0.00,0.94,124,124
2026-06-12,900001001,x1001,Traditional IRA - x1001,-15105.19,0.00,0.00,0.00,0.00,-477.33,-15582.52,-15582.52,76128.54,61023.35,0.00,0.00,0.00,0.00,1.29,109,109
2026-06-15,900001001,x1001,Traditional IRA - x1001,-19928.52,18.84,0.00,0.00,0.00,0.00,-19909.68,-19909.68,35955.80,16027.27,18.84,0.00,0.00,0.00,0.84,77,77
2026-06-16,900001001,x1001,Traditional IRA - x1001,-3891.68,0.00,0.00,0.00,0.00,0.00,-3891.68,-3891.68,30590.57,26698.89,0.00,0.00,0.00,0.00,0.29,126,126
2026-06-17,900001001,x1001,Traditional IRA - x1001,-902.13,0.00,0.00,0.00,0.00,0.00,-902.13,-902.13,5295.49,4393.36,0.00,0.00,0.00,0.00,0.10,22,22
2026-06-18,900001001,x1001,Traditional IRA - x1001,5332.68,28.27,0.00,0.00,0.00,0.00,5360.95,5360.95,4719.86,10052.54,28.27,0.00,0.00,0.00,0.22,36,36
2026-06-22,900001001,x1001,Traditional IRA - x1001,-8008.65,9.02,0.00,0.00,0.00,0.00,-7999.63,-7999.63,11547.73,3539.08,9.02,0.00,0.00,0.00,0.08,27,27
2026-06-23,900001001,x1001,Traditional IRA - x1001,-392.69,65.57,0.00,0.00,0.00,0.00,-327.12,-327.12,3459.80,3067.11,65.57,0.00,0.00,0.00,0.56,13,13
2026-06-24,900001001,x1001,Traditional IRA - x1001,-2577.20,0.00,0.00,0.00,0.00,0.00,-2577.20,-2577.20,7186.05,4608.85,0.00,0.00,0.00,0.00,0.60,36,36
2026-06-25,900001001,x1001,Traditional IRA - x1001,1904.86,0.03,0.00,0.00,0.00,0.00,1904.89,1904.89,3194.01,5098.87,0.03,0.00,0.00,0.00,0.60,22,22
2026-06-26,900001001,x1001,Traditional IRA - x1001,-64.48,26.64,0.00,0.00,0.00,0.00,-37.83,-37.83,14313.77,14249.29,26.64,0.00,0.00,0.00,0.31,75,75
2026-06-29,900001001,x1001,Traditional IRA - x1001,-416.96,10.12,0.00,0.00,0.00,0.00,-406.85,-406.85,27506.93,27089.96,10.12,0.00,0.00,0.00,1.57,88,88
2026-06-30,900001001,x1001,Traditional IRA - x1001,1210.85,89.96,0.00,0.00,0.00,0.00,1300.81,1300.81,3469.38,4680.23,89.85,0.11,0.00,0.00,0.10,21,21
2026-07-01,900001001,x1001,Traditional IRA - x1001,-2597.07,0.00,0.00,0.00,0.00,0.00,-2597.07,-2597.07,6098.33,3501.26,0.00,0.00,0.00,0.00,0.00,20,20
2021-08-27,900001002,x1002,Individual Brokerage - x1002,0.00,0.00,0.00,24.92,0.00,0.00,24.92,24.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1
2021-08-30,900001002,x1002,Individual Brokerage - x1002,0.00,0.00,0.00,0.00,-24.92,0.00,0.00,-24.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1
2023-11-30,900001002,x1002,Individual Brokerage - x1002,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,2
2024-04-30,900001002,x1002,Individual Brokerage - x1002,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,2
2024-09-30,900001002,x1002,Individual Brokerage - x1002,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,2
2025-01-31,900001002,x1002,Individual Brokerage - x1002,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,2
2025-06-30,900001002,x1002,Individual Brokerage - x1002,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,2
2025-10-23,900001002,x1002,Individual Brokerage - x1002,0.00,0.00,23.46,0.00,0.00,0.00,23.46,23.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1
2025-10-24,900001002,x1002,Individual Brokerage - x1002,-47.23,0.00,0.00,0.00,-23.46,0.00,-47.23,-70.69,47.23,0.00,0.00,0.00,0.00,0.00,0.00,3,3
2025-10-27,900001002,x1002,Individual Brokerage - x1002,0.00,0.00,0.00,0.00,47.23,0.00,0.00,47.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5,5
2025-12-09,900001002,x1002,Individual Brokerage - x1002,2.99,0.00,0.00,0.00,0.00,0.00,2.99,2.99,37.39,40.38,0.00,0.00,0.00,0.00,0.00,2,2
2025-12-10,900001002,x1002,Individual Brokerage - x1002,0.00,0.00,0.00,0.00,-2.99,0.00,0.00,-2.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,3
2025-12-22,900001002,x1002,Individual Brokerage - x1002,0.00,0.03,0.00,0.00,-0.03,0.00,0.03,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,2,2
2026-01-15,900001002,x1002,Individual Brokerage - x1002,1.46,0.00,0.00,0.00,0.00,0.00,1.46,1.46,57.50,58.96,0.00,0.00,0.00,0.00,0.00,3,3
2026-01-16,900001002,x1002,Individual Brokerage - x1002,0.00,0.00,0.00,0.00,-1.46,0.00,0.00,-1.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,3
2026-01-20,900001002,x1002,Individual Brokerage - x1002,0.00,0.00,345.68,0.00,0.00,0.00,345.68,345.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1
