Date,AccountId,MaskedAccount,AccountLabel,CashConcept,EstimatedAmount,IsObservedAnchor,AnchorAsOfLocal,AnchorAmount,PriorAnchorAsOfLocal,NextAnchorAsOfLocal,CumulativeNetCashActivityFromAnchor,ReconciliationDelta,ReconciliationStatus,DerivationMethod,Confidence,Limitations
2026-05-28,900001001,x1001,Traditional IRA - x1001,CashAvailToWithdrawEstimated,1078.90,false,2026-06-14 20:50:00,23671.09,,,391.90,,single_anchor,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,medium,Estimate excludes sweep mechanics and depends on account-history export coverage
2026-05-29,900001001,x1001,Traditional IRA - x1001,CashAvailToWithdrawEstimated,-3451.18,false,2026-06-14 20:50:00,23671.09,,,-4138.18,,single_anchor,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,medium,Estimate excludes sweep mechanics and depends on account-history export coverage
2026-05-30,900001001,x1001,Traditional IRA - x1001,CashAvailToWithdrawEstimated,-3451.18,false,2026-06-14 20:50:00,23671.09,,,-4138.18,,single_anchor,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,medium,Estimate excludes sweep mechanics and depends on account-history export coverage
2026-05-31,900001001,x1001,Traditional IRA - x1001,CashAvailToWithdrawEstimated,-3451.18,false,2026-06-14 20:50:00,23671.09,,,-4138.18,,single_anchor,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,medium,Estimate excludes sweep mechanics and depends on account-history export coverage
2026-06-01,900001001,x1001,Traditional IRA - x1001,CashAvailToWithdrawEstimated,-640.01,false,2026-06-14 20:50:00,23671.09,,,-1327.01,,single_anchor,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,medium,Estimate excludes sweep mechanics and depends on account-history export coverage
2026-06-02,900001001,x1001,Traditional IRA - x1001,CashAvailToWithdrawEstimated,19015.07,false,2026-06-14 20:50:00,23671.09,,,18328.07,,single_anchor,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,medium,Estimate excludes sweep mechanics and depends on account-history export coverage
2026-06-03,900001001,x1001,Traditional IRA - x1001,CashAvailToWithdrawEstimated,-96.20,false,2026-06-14 20:50:00,23671.09,,,-783.20,,single_anchor,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,medium,Estimate excludes sweep mechanics and depends on account-history export coverage
2026-06-04,900001001,x1001,Traditional IRA - x1001,CashAvailToWithdrawEstimated,27672.26,false,2026-06-14 20:50:00,23671.09,,,26985.26,,single_anchor,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,medium,Estimate excludes sweep mechanics and depends on account-history export coverage
2026-06-05,900001001,x1001,Traditional IRA - x1001,CashAvailToWithdrawEstimated,15840.29,false,2026-06-14 20:50:00,23671.09,,,15153.29,,single_anchor,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,medium,Estimate excludes sweep mechanics and depends on account-history export coverage
2026-06-06,900001001,x1001,Traditional IRA - x1001,CashAvailToWithdrawEstimated,15840.29,false,2026-06-14 20:50:00,23671.09,,,15153.29,,single_anchor,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,medium,Estimate excludes sweep mechanics and depends on account-history export coverage
