ExportType,SourceHash,RawStoredPath,OriginalFileName,ExportTitle,ExportedAtLocal,ExportedAtTimeZone,RowCount,MinDate,MaxDate,RebuiltAtLocal
account_history,1f7e700435ff556713078bc83f33e9f13cfba0f94193496c572b8172bdd3d238,data/raw/etrade/account_history/20260614-205753-457985b06830-1003History.csv,20260614-205753-457985b06830-1003History.csv,"900001003, as of 06/14/26 at 11:51 PM EST",2026-06-14 23:51:00,EST,999,2024-01-31,2026-06-12,2026-07-26 08:28:59
account_history,a2ceefb456edffb6988a012c12be0bfb2c7e9a8bda83f5a61bf167bf3a85a88d,data/raw/etrade/account_history/20260614-205836-7d7cfd27bcd8-1002History.csv,20260614-205836-7d7cfd27bcd8-1002History.csv,"900001002, as of 06/14/26 at 11:51 PM EST",2026-06-14 23:51:00,EST,213,2021-08-27,2026-06-04,2026-07-26 08:28:59
account_history,11e647652f61f963a526d3f3dc8a91fc1f238bd61dadf17595ae929006a2a58e,data/raw/etrade/account_history/20260614-205836-926e82babbca-1001History.csv,20260614-205836-926e82babbca-1001History.csv,"900001001, as of 06/14/26 at 11:52 PM EST",2026-06-14 23:52:00,EST,999,2026-05-28,2026-06-12,2026-07-26 08:28:59
account_history,3bd99b1bdd8e9e407c1a70580c5a49f069770d59116edaad80b16d3df01d25d6,data/raw/etrade/account_history/20260616-170446-1e1529d2dda8-History1001.csv,20260616-170446-1e1529d2dda8-History1001.csv,"900001001, as of 06/16/26 at 08:00 PM EST",2026-06-16 20:00:00,EST,999,2026-06-01,2026-06-16,2026-07-26 08:28:59
account_history,13d008be670f4cc4d8bfe1570548edf55ef478d2807f1eabf40204e0125039fd,data/raw/etrade/account_history/20260616-170446-27294df4a0df-History1003.csv,20260616-170446-27294df4a0df-History1003.csv,"900001003, as of 06/16/26 at 08:00 PM EST",2026-06-16 20:00:00,EST,54,2026-05-19,2026-06-15,2026-07-26 08:28:59
account_history,df6720b8b864fa832f7f8ae75df57e6027e708cfce0df1aaea2fb4e0797f4b9d,data/raw/etrade/account_history/20260616-170446-9beb3b5501c3-History1002.csv,20260616-170446-9beb3b5501c3-History1002.csv,"900001002, as of 06/16/26 at 07:59 PM EST",2026-06-16 19:59:00,EST,21,2026-05-20,2026-06-16,2026-07-26 08:28:59
account_history,1002a0d204823d25e881383b749b0cc291fc63b4e0e24e8fce4b974a087fa6aa,data/raw/etrade/account_history/20260701-235622-2727ed26bcd5-demo-a-History.csv,20260701-235622-2727ed26bcd5-demo-a-History.csv,"-1, as of 07/01/26 at 07:29 PM EST",2026-07-01 19:29:00,EST,999,2026-06-02,2026-07-01,2026-07-26 08:28:59
account_history,90d465f578b7825c7096555897f3e83c4924cfca03f518f57ebc73060aff6bdf,data/raw/etrade/account_history/20260701-235622-a0a44a54726c-demo-b-History.csv,20260701-235622-a0a44a54726c-demo-b-History.csv,"900001004, as of 07/01/26 at 07:40 PM EST",2026-07-01 19:40:00,EST,864,2021-01-26,2026-06-30,2026-07-26 08:28:59
balances,a8c8fac803d9cd435012185ce5fe152ae9b1eeccb5db8a35b23f3a7188d60cfd,data/raw/etrade/balances/20260614-181829-88bddc755842-Balances.csv,20260614-181829-88bddc755842-Balances.csv,"All Accounts - 3 accounts, as of 06/14/26 at 08:50 PM EST",2026-06-14 20:50:00,EST,4,,,2026-07-26 08:28:59
balances,a8f1be8c71d303ab7797f7e094373996b606586eaacc22c73f344690df1d2348,data/raw/etrade/balances/20260616-170446-2c4c260b8031-Summary.csv,20260616-170446-2c4c260b8031-Summary.csv,"All Accounts - 3 accounts, as of 06/16/26 at 07:59 PM EST",2026-06-16 19:59:00,EST,4,,,2026-07-26 08:28:59
balances,d6a40deab923466b4a00791bb1cecf7875edfe8baf0ef281457e7ee182d89a8a,data/raw/etrade/balances/20260701-235622-3b2c9b5e85ab-demo-b-Summary.csv,20260701-235622-3b2c9b5e85ab-demo-b-Summary.csv,All Accounts as of 07/01/26 at 07:42 PM EST,2026-07-01 19:42:00,EST,1,,,2026-07-26 08:28:59
balances,327fad9142132fc017baf205802dc4791d5dfebd5888e2a97ba66839ba1bb747,data/raw/etrade/balances/20260701-235622-4840d058856d-demo-a-Summary.csv,20260701-235622-4840d058856d-demo-a-Summary.csv,"All Accounts - 3 accounts, as of 07/01/26 at 07:28 PM EST",2026-07-01 19:28:00,EST,4,,,2026-07-26 08:28:59
orders,0f547ea6ecec0d19b495ad8ba8bb0ec1542865200764811c62035eb8c6f8946e,data/raw/etrade/orders/20260614-181829-0f547ea6ecec-Orders.csv,20260614-181829-0f547ea6ecec-Orders.csv,"Account All Accounts - 3 accounts Orders, as of 06/14/26 at 08:58 PM EST",2026-06-14 20:58:00,EST,2698,2024-06-24,2026-06-14,2026-07-26 08:28:59
orders,29985b5b1410321a694820ea5ccd09ec99aa1b484bca028c02da6f217aa2fb8c,data/raw/etrade/orders/20260616-170446-29985b5b1410-Orders.csv,20260616-170446-29985b5b1410-Orders.csv,"Account All Accounts - 3 accounts Orders, as of 06/16/26 at 07:57 PM EST",2026-06-16 19:57:00,EST,2313,2026-04-02,2026-06-16,2026-07-26 08:28:59
orders,0cfef22fdb6b3021e5fa880f46aca2f17b89bca70a78131eed899034ed7ae4e9,data/raw/etrade/orders/20260701-235622-0cfef22fdb6b-demo-a-Orders.csv,20260701-235622-0cfef22fdb6b-demo-a-Orders.csv,"Account All Accounts - 3 accounts Orders, as of 07/01/26 at 07:27 PM EST",2026-07-01 19:27:00,EST,2577,2026-04-02,2026-07-01,2026-07-26 08:28:59
orders,9b97a5c793fa13062e26766e52d8a7b82565881805ee556323ab292bd4072ad4,data/raw/etrade/orders/20260701-235622-9b97a5c793fa-demo-b-Orders.csv,20260701-235622-9b97a5c793fa-demo-b-Orders.csv,"Account 900001004 Orders, as of 07/01/26 at 07:33 PM EST",2026-07-01 19:33:00,EST,596,2024-08-19,2026-06-30,2026-07-26 08:28:59
portfolio_lot_level,9e73420ee0a091176433122c41f8c80713630021a9a2d0bb01dbf720133da4e4,data/raw/etrade/portfolio_lot_level/20260614-181829-29adb4581805-PortfolioDownloadLotLevel.csv,20260614-181829-29adb4581805-PortfolioDownloadLotLevel.csv,"Account All Accounts - 3 accounts Positions, as of 06/14/26 at 08:49 PM EST",2026-06-14 20:49:00,EST,123,2026-06-14,2026-06-14,2026-07-26 08:28:59
portfolio_lot_level,75da632b6d88410327751e98f443d04e2c80759f5318eecd3ca64d9455bef96c,data/raw/etrade/portfolio_lot_level/20260616-170446-98736df49fee-PositionsLotLevel.csv,20260616-170446-98736df49fee-PositionsLotLevel.csv,"Account All Accounts - 3 accounts Positions, as of 06/16/26 at 07:58 PM EST",2026-06-16 19:58:00,EST,125,2026-06-16,2026-06-16,2026-07-26 08:28:59
portfolio_lot_level,defd593c3cc089ff1e5b25405b5d6fe47c3b3e81a44f69b0573b87fd0ee2b583,data/raw/etrade/portfolio_lot_level/20260701-235622-61c4bd18ed92-demo-b-Positions.csv,20260701-235622-61c4bd18ed92-demo-b-Positions.csv,"Account 900001004 Positions, as of 07/01/26 at 07:37 PM EST",2026-07-01 19:37:00,EST,25,2026-07-01,2026-07-01,2026-07-26 08:28:59
portfolio_lot_level,2b8438c02a47d418829d66cf1eb75a76e9b76cfeb73ccac5934423550f687186,data/raw/etrade/portfolio_lot_level/20260701-235622-bffbaaf60491-demo-a-Positions.csv,20260701-235622-bffbaaf60491-demo-a-Positions.csv,"Account 900001001 Positions, as of 07/01/26 at 07:49 PM EST",2026-07-01 19:49:00,EST,92,2026-07-01,2026-07-01,2026-07-26 08:28:59
