SourceHash,RawStoredPath,ExportedAtLocal,ExportedAtTimeZone,AccountId,MaskedAccount,AccountLabel,Symbol,Status,Side,PositionEffect,Quantity,OrderType,OrderPrice,Fill,FillQuantity,FillPrice,Market,Time,Date,Description
0f547ea6ecec0d19b495ad8ba8bb0ec1542865200764811c62035eb8c6f8946e,data/raw/etrade/orders/20260614-181829-0f547ea6ecec-Orders.csv,2026-06-14 20:58:00,EST,900001001,x1001,Traditional IRA - x1001,SGDM,Queued,Buy,Open,150,Market,Market,--,,,8.47,2026-06-14 09:54:06,2026-06-14,Buy 150 Shares @ Market to Open
0f547ea6ecec0d19b495ad8ba8bb0ec1542865200764811c62035eb8c6f8946e,data/raw/etrade/orders/20260614-181829-0f547ea6ecec-Orders.csv,2026-06-14 20:58:00,EST,900001003,x1003,Partnership / LLC / LLP - x1003,SGDM,Queued,Buy,Open,50,Market,Market,--,,,8.47,2026-06-14 09:53:23,2026-06-14,Buy 50 Shares @ Market to Open
29985b5b1410321a694820ea5ccd09ec99aa1b484bca028c02da6f217aa2fb8c,data/raw/etrade/orders/20260616-170446-29985b5b1410-Orders.csv,2026-06-16 19:57:00,EST,900001001,x1001,Traditional IRA - x1001,SPCX,Open,Buy,Open,100,Limit,14.599,--,,,20.59,2026-06-12 14:42:41,2026-06-12,Buy 100 Shares @ 14.599 Limit GTC to Open
29985b5b1410321a694820ea5ccd09ec99aa1b484bca028c02da6f217aa2fb8c,data/raw/etrade/orders/20260616-170446-29985b5b1410-Orders.csv,2026-06-16 19:57:00,EST,900001001,x1001,Traditional IRA - x1001,SPCX,Open,Buy,Open,100,Limit,13.999,--,,,20.59,2026-06-12 14:06:29,2026-06-12,Buy 100 Shares @ 13.999 Limit GTC to Open
29985b5b1410321a694820ea5ccd09ec99aa1b484bca028c02da6f217aa2fb8c,data/raw/etrade/orders/20260616-170446-29985b5b1410-Orders.csv,2026-06-16 19:57:00,EST,900001001,x1001,Traditional IRA - x1001,IBIT,Open,Buy,Open,250,Limit,3.345,--,,,3.722,2026-06-11 12:32:04,2026-06-11,Buy 250 Shares @ 3.345 Limit GTC to Open
0cfef22fdb6b3021e5fa880f46aca2f17b89bca70a78131eed899034ed7ae4e9,data/raw/etrade/orders/20260701-235622-0cfef22fdb6b-demo-a-Orders.csv,2026-07-01 19:27:00,EST,900001001,x1001,Traditional IRA - x1001,PARR,Saved,Sell,,,,,--,,,5.611,2026-06-02 11:29:03,2026-06-02,Sell 35 Shares @ Market CLO to Close
0cfef22fdb6b3021e5fa880f46aca2f17b89bca70a78131eed899034ed7ae4e9,data/raw/etrade/orders/20260701-235622-0cfef22fdb6b-demo-a-Orders.csv,2026-07-01 19:27:00,EST,900001001,x1001,Traditional IRA - x1001,SPCX,Expired,Buy,Open,200,Limit,14.999,--,,,--,2026-06-12 20:07:08,2026-06-12,Buy 200 Shares @ 14.999 Limit EXT to Open
0cfef22fdb6b3021e5fa880f46aca2f17b89bca70a78131eed899034ed7ae4e9,data/raw/etrade/orders/20260701-235622-0cfef22fdb6b-demo-a-Orders.csv,2026-07-01 19:27:00,EST,900001001,x1001,Traditional IRA - x1001,SPCX,Filled,Buy,Open,100,Limit,16.719,100 @ 16.719,100,16.719,--,2026-06-12 19:36:12,2026-06-12,Buy 100 Shares @ 16.719 Limit EXT to Open
0cfef22fdb6b3021e5fa880f46aca2f17b89bca70a78131eed899034ed7ae4e9,data/raw/etrade/orders/20260701-235622-0cfef22fdb6b-demo-a-Orders.csv,2026-07-01 19:27:00,EST,900001001,x1001,Traditional IRA - x1001,SPCX,Canceled,Buy,Open,200,Limit,15.999,--,,,--,2026-06-12 18:14:26,2026-06-12,Buy 200 Shares @ 15.999 Limit EXT to Open
0cfef22fdb6b3021e5fa880f46aca2f17b89bca70a78131eed899034ed7ae4e9,data/raw/etrade/orders/20260701-235622-0cfef22fdb6b-demo-a-Orders.csv,2026-07-01 19:27:00,EST,900001001,x1001,Traditional IRA - x1001,SPCX,Canceled,Buy,Open,150,Limit,15.623,--,,,--,2026-06-12 18:11:50,2026-06-12,Buy 150 Shares @ 15.623 Limit EXT to Open
