"Account 900001004 Orders, as of 07/01/26 at 07:33 PM EST"
Symbol,Status,Fill,Description,Market,Time,Account
VGSH,Open,--,Sell 1005 Shares @ 5.827 Limit GTC to Close,5.801,"06/30/2026, 11:58:36 AM",900001004
SPCX,Open,--,Sell 25 Shares @ 21.399 Limit GTC to Close,15.766,"06/17/2026, 10:22:50 AM",900001004
AMZN,Open,--,Sell 25 Shares @ 26.999 Limit GTC to Close,24.213,"06/03/2026, 6:30:14 AM",900001004
GDE,Open,--,Sell 25 Shares @ 7.123 Limit GTC to Close,5.948,"05/11/2026, 6:37:34 AM",900001004
GRNY,Open,--,Sell 100 Shares @ 2.789 Limit GTC to Close,2.765,"05/11/2026, 6:37:33 AM",900001004
GM,Filled,40 @ 7.63,Buy 40 Shares @ Market to Open,7.576,"06/30/2026, 11:59:39 AM",900001004
VTI,Filled,7 @ 36.935,Sell 7 Shares @ Market to Close,36.901,"06/30/2026, 11:53:59 AM",900001004
MSFT,Filled,15 @ 36.85,Buy 15 Shares @ Market to Open,38.39,"06/29/2026, 3:56:06 PM",900001004
AMZN,Filled,25 @ 24.018,Sell 25 Shares @ Market to Close,24.213,"06/29/2026, 3:53:57 PM",900001004
VGSH,Filled,120 @ 5.826,Buy 120 Shares @ Market to Open,5.804,"06/26/2026, 1:24:44 PM",900001004
IBIT,Filled,200 @ 3.399,Sell 200 Shares @ Market to Close,3.411,"06/26/2026, 1:23:44 PM",900001004
SPMO,Filled,15 @ 15.659,Buy 15 Shares @ Market to Open,15.567,"06/26/2026, 1:22:38 PM",900001004
EWY,Filled,20 @ 20.116,Buy 20 Shares @ Market to Open,18.638,"06/26/2026, 1:22:05 PM",900001004
GDE,Filled,35 @ 6.096,Sell 35 Shares @ Market to Close,5.948,"06/26/2026, 1:21:07 PM",900001004
IBIT,Filled,400 @ 3.443,Buy 400 Shares @ 3.443 Limit GTC to Open,3.415,"06/24/2026, 10:20:32 AM",900001004
IBIT,Filled,400 @ 3.456,Buy 400 Shares @ 3.456 Limit GTC to Open,3.415,"06/24/2026, 10:13:20 AM",900001004
GDMN,Filled,150 @ 7.1,Buy 150 Shares @ 7.456 Limit GTC to Open,7.262,"06/24/2026, 9:30:01 AM",900001004
BE,Filled,3 @ 30.499,Sell 3 Shares @ 30.499 Limit GTC to Close,29.51,"06/18/2026, 9:31:33 AM",900001004
BE,Filled,10 @ 30.333,Sell 10 Shares @ 30.333 Limit GTC to Close,29.51,"06/18/2026, 9:31:29 AM",900001004
AMZN,Filled,10 @ 24.229,Buy 10 Shares @ Market to Open,24.23,"06/17/2026, 10:27:57 AM",900001004
GDE,Filled,25 @ 6.614,Sell 25 Shares @ Market to Close,5.948,"06/17/2026, 10:27:20 AM",900001004
MSFT,Filled,10 @ 38.765,Buy 10 Shares @ Market to Open,38.39,"06/17/2026, 10:24:56 AM",900001004
GDMN,Filled,50 @ 9.054,Sell 50 Shares @ Market to Close,6.969,"06/17/2026, 10:23:32 AM",900001004
SPCX,Filled,50 @ 19.567,Buy 50 Shares @ 19.567 Limit to Open,15.795,"06/17/2026, 10:18:48 AM",900001004
IFRA,Filled,25 @ 6.232,Sell 25 Shares @ Market to Close,6.15,"06/17/2026, 10:13:35 AM",900001004
SPMO,Filled,23 @ 15.661,Sell 23 Shares @ Market to Close,15.52,"06/17/2026, 10:12:32 AM",900001004
EMEQ,Filled,25 @ 7.204,Sell 25 Shares @ Market to Close,6.7,"06/17/2026, 10:11:59 AM",900001004
BE,Filled,7 @ 29.11,Sell 7 Shares @ Market to Close,29.51,"06/17/2026, 10:10:54 AM",900001004
SPCX,Filled,25 @ 19.381,Buy 25 Shares @ 19.567 Limit to Open,15.795,"06/17/2026, 10:04:40 AM",900001004
IAUM,Filled,125 @ 4.307,Buy 125 Shares @ Market CLO to Open,4.024,"06/15/2026, 4:00:00 PM",900001004
GDMN,Filled,50 @ 8.822,Sell 50 Shares @ 8.822 Limit to Close,6.969,"06/15/2026, 10:02:01 AM",900001004
VGSH,Filled,175 @ 5.823,Buy 175 Shares @ Market to Open,5.804,"06/15/2026, 10:00:43 AM",900001004
VTI,Expired,--,Buy 10 Shares @ 33.333 Limit GTC to Open,36.928,"06/15/2026, 6:30:17 AM",900001004
