"Account All Accounts - 3 accounts Positions, as of 06/14/26 at 08:49 PM EST"
Position,Qty,Date Acquired,Term,Cost Basis,U/L Price,U/L Change,Mark,Mark Chg,Net Cost Basis,Today's Net Gain,Open Net Gain,Market Value,Bid,Ask,Earnings Date
Individual Brokerage - x1002,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
    GDE +1 Share (1 lot),1,02/26/2026,Short term,7.558,6.357,0.042,6.357,0.042,7.558,0.042,-1.201,6.357,5.7,7.6,--
    LITE +5 Shares (3 lots),5,04/14/2026,Short term,88.3588,92.156,3.197,92.156,3.197,88.3588,15.985,18.986,460.78,91.8,92.1,2026-08-12
Partnership / LLC / LLP - x1003,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
    AGX +13 Shares (2 lots),13,01/24/2025,Mixed term,22.2223846154,64.168,1.802,64.168,1.802,22.2223846154,23.426,545.293,834.184,63,65.243,2026-09-03
    AMZN +62 Shares (6 lots),62,12/04/2025,Short term,22.4797096774,23.855,-0.296,23.855,-0.296,22.4797096774,-18.352,85.268,1479.01,23.865,23.867,2026-07-30
    CLS +44 Shares (4 lots),44,03/25/2025,Mixed term,13.6952727273,39.312,0.726,39.312,0.726,13.6952727273,31.944,1127.136,1729.728,39.5,39.628,2026-07-27
    CRDO +134 Shares (7 lots),134,01/09/2026,Short term,14.1369820896,25.081,-1.395,25.081,-1.395,14.1369820896,-143.4930008,1466.4984,3360.854,25.129,25.2,2026-09-02
    GDE +20 Shares (1 lot),20,02/27/2026,Short term,7.58805,6.357,0.042,6.357,0.042,7.58805,0.84,-24.621,127.14,5.7,7.6,--
    GDMN +127 Shares (3 lots),127,11/11/2025,Short term,8.3555787402,8.021,0.166,8.021,0.166,8.3555787402,21.082,-42.4915,1018.667,6.935,8.2,--
    GRNJ +340 Shares (2 lots),340,04/02/2026,Short term,2.7810676471,3.129,0.017,3.129,0.017,2.7810676471,5.78,118.297,1063.86,3,3.145,--
    GRNY +390 Shares (3 lots),390,04/16/2026,Short term,2.6232153846,2.72,0.031,2.72,0.031,2.6232153846,12.09,37.746,1060.8,2.706,2.743,--
    IAUM +55 Shares (1 lot),55,10/27/2025,Short term,3.984,4.196,0.004,4.196,0.004,3.984,0.22,11.66,230.78,4.17,4.207,--
    LITE +9 Shares (3 lots),9,03/23/2026,Short term,75.9697777778,92.156,3.197,92.156,3.197,75.9697777778,28.773,145.676,829.404,91.8,92.1,2026-08-12
    MDLZ +15 Shares (1 lot),15,06/12/2026,Short term,6.332,6.299,-0.037,6.299,-0.037,6.332,-0.495,-0.495,94.485,6.249,6.308,2026-07-28
    MU +15 Shares (2 lots),15,03/24/2026,Short term,40.3296666667,98.161,-1.426,98.161,-1.426,40.3296666667,-21.39,867.47,1472.415,98.95,99,2026-06-24
