"Account All Accounts - 3 accounts Positions, as of 06/16/26 at 07:58 PM EST"
Position,Qty,Date Acquired,Term,Cost Basis,U/L Price,U/L Change,Mark,Mark Chg,Net Cost Basis,Today's Net Gain,Open Net Gain,Market Value,Bid,Ask,Earnings Date
Individual Brokerage - x1002,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
    LITE +5 Shares (3 lots),5,04/14/2026,Short term,88.3588,87.536,-8.188,87.536,-8.188,88.3588,-40.94,-4.114,437.68,88,88.25,2026-08-12
Partnership / LLC / LLP - x1003,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
    AGX +13 Shares (2 lots),13,01/24/2025,Mixed term,22.2223846154,69.039,0.152,69.039,0.152,22.2223846154,1.976,608.616,897.507,68.5,69.2,2026-09-03
    AMZN +62 Shares (6 lots),62,12/04/2025,Short term,22.4797096774,24.6,-0.002,24.6,-0.002,22.4797096774,-0.124,131.458,1525.2,24.57,24.577,2026-07-30
    CLS +44 Shares (4 lots),44,03/25/2025,Mixed term,13.6952727273,38.201,-2.144,38.201,-2.144,13.6952727273,-94.336,1078.252,1680.844,38.262,38.36,2026-07-27
    CRDO +134 Shares (7 lots),134,01/09/2026,Short term,14.1369820896,23.918,-2.023,23.918,-2.023,14.1369820896,-271.082,1310.6564,3205.012,23.94,24,2026-09-02
    GDE +20 Shares (1 lot),20,02/27/2026,Short term,7.58805,6.574,0.007,6.574,0.007,7.58805,0.14,-20.281,131.48,6.012,6.885,--
    GDMN +127 Shares (3 lots),127,11/11/2025,Short term,8.3555787402,8.844,0.215,8.844,0.215,8.3555787402,27.305,62.0295,1123.188,8.64,9.4,--
    GRNJ +340 Shares (2 lots),340,04/02/2026,Short term,2.7810676471,3.153,-0.039,3.153,-0.039,2.7810676471,-13.26,126.457,1072.02,3.15,3.205,--
    GRNY +390 Shares (3 lots),390,04/16/2026,Short term,2.6232153846,2.745,-0.019,2.745,-0.019,2.6232153846,-7.41,47.496,1070.55,2.738,2.75,--
    IAUM +55 Shares (1 lot),55,10/27/2025,Short term,3.984,4.318,0.011,4.318,0.011,3.984,0.605,18.37,237.49,4.316,4.321,--
    LITE +9 Shares (3 lots),9,03/23/2026,Short term,75.9697777778,87.536,-8.188,87.536,-8.188,75.9697777778,-73.692,104.096,787.824,88,88.25,2026-08-12
    MDLZ +15 Shares (1 lot),15,06/12/2026,Short term,6.332,6.215,0.065,6.215,0.065,6.332,0.975,-1.755,93.225,6.15,6.222,2026-07-28
    MU +15 Shares (2 lots),15,03/24/2026,Short term,40.3296666667,102.076,-6.723,102.076,-6.723,40.3296666667,-100.845,926.195,1531.14,103.548,103.6,2026-06-24
    PPLT +70 Shares (1 lot),70,11/11/2025,Short term,1.4420571429,1.642,0.036,1.642,0.036,1.4420571429,2.52,13.996,114.94,1.622,1.647,--
    PSTL +200 Shares (1 lot),200,06/05/2026,Short term,2.27146,2.331,0.015,2.331,0.015,2.27146,3,11.908,466.2,2.214,2.45,2026-08-03
    SGDM +50 Shares (1 lot),50,06/15/2026,Short term,7.065,7.216,0.155,7.216,0.155,7.065,7.75,7.55,360.8,6.84,7.667,--
    SHLD +300 Shares (1 lot),300,04/04/2025,Long term,4.401,6.386,0.058,6.386,0.058,4.401,17.4,595.5,1915.8,6.355,6.45,2018-11-30
    SLV +70 Shares (3 lots),70,10/17/2025,Short term,5.9709285714,6.339,-0.008,6.339,-0.008,5.9709285714,-0.56,25.765,443.73,6.33,6.335,--
    SPMO +235 Shares (3 lots),235,04/16/2026,Short term,14.4162978723,15.462,-0.322,15.462,-0.322,14.4162978723,-75.67,245.74,3633.57,15.51,15.516,--
    SYF +50 Shares (1 lot),50,09/16/2024,Long term,4.70876,7.529,0.068,7.529,0.068,4.70876,3.4,141.012,376.45,7.456,7.599,2026-07-21
    TSLA +20 Shares (1 lot),20,04/16/2026,Short term,38.299,40.466,-0.649,40.466,-0.649,38.299,-12.98,43.34,809.32,40.297,40.302,2026-07-22
Traditional IRA - x1001,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
    AEM +40 Shares (2 lots),40,06/09/2026,Short term,15.40925,17.582,0.402,17.582,0.402,15.40925,16.08,86.91,703.28,17.457,17.8,2026-07-29
    AGX +18 Shares (3 lots),18,05/07/2026,Short term,68.0835,69.039,0.152,69.039,0.152,68.0835,1.976,17.199,1242.702,68.5,69.2,2026-09-03
    AMD +15 Shares (2 lots),15,06/04/2026,Short term,52.358,50.729,-3.997,50.729,-3.997,52.358,-36.465,-24.435,760.935,51.065,51.101,2026-08-04
    AMZN +255 Shares (11 lots),255,04/30/2026,Short term,25.528745098,24.6,-0.002,24.6,-0.002,25.528745098,-0.51,-236.83,6273,24.57,24.577,2026-07-30
    APP +15 Shares (3 lots),15,06/10/2026,Short term,49.564,51.52,-0.566,51.52,-0.566,49.564,-1.554,29.34,772.8,51.055,51.35,2026-08-06
    ARE +900 Shares (11 lots),900,10/13/2025,Short term,5.3995272222,5.176,-0.062,5.176,-0.062,5.3995272222,-52.76,-201.1745,4658.4,5.1,5.259,2026-08-03
    ARKX +300 Shares (1 lot),300,06/12/2026,Short term,3.404,3.475,-0.043,3.475,-0.043,3.404,-12.9,21.3,1042.5,3.465,3.47,--
    ASML +2 Shares (1 lot),2,06/10/2026,Short term,180.7745,180.389,-8.877,180.389,-8.877,180.7745,-17.754,-0.771,360.778,181.5,181.8,2026-07-15
    AUGO +140 Shares (5 lots),140,04/20/2026,Short term,9.6291642857,6.637,0.019,6.637,0.019,9.6291642857,2.66,-418.903,929.18,6.1,6.888,2026-08-05
    B +145 Shares (3 lots),145,01/15/2026,Short term,4.7317063448,4.277,0.094,4.277,0.094,4.7317063448,13.63,-65.93242,620.165,4.275,4.295,2026-08-11
    BE +15 Shares (1 lot),15,06/03/2026,Short term,29.0868666667,28.088,0.638,28.088,0.638,29.0868666667,9.57,-14.983,421.32,28.18,28.263,2026-07-30
    BLOX +875 Shares (6 lots),875,05/15/2026,Short term,1.7519685714,1.704,-0.01,1.704,-0.01,1.7519685714,-8.75,-41.9725,1491,1.68,1.736,--
