"Account 900001004 Positions, as of 07/01/26 at 07:37 PM EST"
Position,Qty,Date Acquired,Term,Cost Basis,U/L Price,U/L Change,Mark,Mark Chg,Net Cost Basis,Today's Net Gain,Open Net Gain,Market Value,Bid,Ask,Earnings Date
    AMZN +159 Shares (10 lots),159,09/07/2018,Mixed term,20.5330471,24.17,0.336,24.17,0.336,20.5330471,53.424,578.2755111,3843.03,24.22,24.259,2026-07-30
    50  09/07/2018,50,09/07/2018,Long term,9.69454,--,--,24.17,0.336,9.69454,16.8,723.773,1208.5,24.22,24.259,--
    10  01/26/2026,10,01/26/2026,Short term,23.8735,--,--,24.17,0.336,23.8735,3.36,2.965,241.7,24.22,24.259,--
    3  04/27/2026,3,04/27/2026,Short term,26.284,--,--,24.17,0.336,26.284,1.008,-6.342,72.51,24.22,24.259,--
    15  04/30/2026,15,04/30/2026,Short term,25.97,--,--,24.17,0.336,25.97,5.04,-27,362.55,24.22,24.259,--
    15  05/26/2026,15,05/26/2026,Short term,26.317,--,--,24.17,0.336,26.317,5.04,-32.205,362.55,24.22,24.259,--
    7  05/29/2026,7,05/29/2026,Short term,27.125,--,--,24.17,0.336,27.125,2.352,-20.685,169.19,24.22,24.259,--
    15  05/29/2026,15,05/29/2026,Short term,27.108,--,--,24.17,0.336,27.108,5.04,-44.07,362.55,24.22,24.259,--
    25  06/03/2026,25,06/03/2026,Short term,25.0105,--,--,24.17,0.336,25.0105,8.4,-21.0125,604.25,24.22,24.259,--
    9  06/11/2026,9,06/11/2026,Short term,23.7875556,--,--,24.17,0.336,23.7875556,3.024,3.4419996,217.53,24.22,24.259,--
    10  06/17/2026,10,06/17/2026,Short term,24.229,--,--,24.17,0.336,24.229,3.36,-0.59,241.7,24.22,24.259,--
    BRK.B +50 Shares (3 lots),50,10/27/2025,Short term,48.5415,49.974,-0.065,49.974,-0.065,48.5415,-3.25,71.625,2498.7,49.974,50,2026-08-01
    15  10/27/2025,15,10/27/2025,Short term,49.115,--,--,49.974,-0.065,49.115,-0.975,12.885,749.61,49.974,50,--
    15  04/10/2026,15,04/10/2026,Short term,48.4,--,--,49.974,-0.065,48.4,-0.975,23.61,749.61,49.974,50,--
    20  06/11/2026,20,06/11/2026,Short term,48.2175,--,--,49.974,-0.065,48.2175,-1.3,35.13,999.48,49.974,50,--
    COPJ +75 Shares (3 lots),75,01/28/2026,Short term,4.7618166,3.895,-0.065,3.895,-0.065,4.7618166,-4.875,-65.011245,292.125,3.7,4.254,--
    25  01/28/2026,25,01/28/2026,Short term,5.0845,--,--,3.895,-0.065,5.0845,-1.625,-29.7375,97.375,3.7,4.254,--
    25  02/02/2026,25,02/02/2026,Short term,4.661,--,--,3.895,-0.065,4.661,-1.625,-19.15,97.375,3.7,4.254,--
    25  06/03/2026,25,06/03/2026,Short term,4.53995,--,--,3.895,-0.065,4.53995,-1.625,-16.12375,97.375,3.7,4.254,--
    EMEQ +25 Shares (1 lot),25,05/29/2026,Short term,6.777,6.961,-0.325,6.961,-0.325,6.777,-8.125,4.6,174.025,6.7,7.315,--
    25  05/29/2026,25,05/29/2026,Short term,6.777,--,--,6.961,-0.325,6.777,-8.125,4.6,174.025,6.7,7.315,--
    ETH +318 Shares (3 lots),318,09/02/2025,Short term,3.4449811,1.537,0.034,1.537,0.034,3.4449811,10.812,-606.7379898,488.766,1.532,1.547,2021-10-28
    118  09/02/2025,118,09/02/2025,Short term,4.053,--,--,1.537,0.034,4.053,4.012,-296.888,181.366,1.532,1.547,--
    100  09/22/2025,100,09/22/2025,Short term,3.963,--,--,1.537,0.034,3.963,3.4,-242.6,153.7,1.532,1.547,--
    100  04/20/2026,100,04/20/2026,Short term,2.2095,--,--,1.537,0.034,2.2095,3.4,-67.25,153.7,1.532,1.547,--
    EWY +30 Shares (2 lots),30,06/11/2026,Short term,19.6818333,18.55,-1.64,18.55,-1.64,19.6818333,-49.2,-33.954999,556.5,18.62,18.724,--
    10  06/11/2026,10,06/11/2026,Short term,18.8145,--,--,18.55,-1.64,18.8145,-16.4,-2.645,185.5,18.62,18.724,--
    20  06/26/2026,20,06/26/2026,Short term,20.1155,--,--,18.55,-1.64,20.1155,-32.8,-31.31,371,18.62,18.724,--
    GDE +115 Shares (2 lots),115,02/04/2026,Short term,7.007,6.154,0.0445,6.154,0.0445,7.007,5.117,-98.095,707.71,5.948,6.885,--
    40  02/04/2026,40,02/04/2026,Short term,7.022,--,--,6.154,0.0445,7.022,1.78,-34.72,246.16,5.948,6.885,--
    75  03/03/2026,75,03/03/2026,Short term,6.999,--,--,6.154,0.0445,6.999,3.3375,-63.375,461.55,5.948,6.885,--
    GDMN +450 Shares (3 lots),450,06/12/2026,Short term,7.6731111,7.262,0.021,7.262,0.021,7.6731111,9.45,-184.999995,3267.9,6.969,7.262,--
    200  06/12/2026,200,06/12/2026,Short term,7.911,--,--,7.262,0.021,7.911,4.2,-129.8,1452.4,6.969,7.262,--
    100  06/12/2026,100,06/12/2026,Short term,8.057,--,--,7.262,0.021,8.057,2.1,-79.5,726.2,6.969,7.262,--
    150  06/24/2026,150,06/24/2026,Short term,7.1,--,--,7.262,0.021,7.1,3.15,24.3,1089.3,6.969,7.262,--
    GM +175 Shares (4 lots),175,02/06/2026,Short term,8.1211742,7.552,-0.156,7.552,-0.156,8.1211742,-27.3,-99.605485,1321.6,7.522,7.576,2026-07-21
    75  02/06/2026,75,02/06/2026,Short term,8.3255733,--,--,7.552,-0.156,8.3255733,-11.7,-58.0179975,566.4,7.522,7.576,--
    25  05/29/2026,25,05/29/2026,Short term,8.3445,--,--,7.552,-0.156,8.3445,-3.9,-19.8125,188.8,7.522,7.576,--
    35  06/11/2026,35,06/11/2026,Short term,8.085,--,--,7.552,-0.156,8.085,-5.46,-18.655,264.32,7.522,7.576,--
    40  06/30/2026,40,06/30/2026,Short term,7.63,--,--,7.552,-0.156,7.63,-6.24,-3.12,302.08,7.522,7.576,--
    GRNJ +150 Shares (2 lots),150,05/12/2026,Short term,3.0566666,3.098,-0.046,3.098,-0.046,3.0566666,-6.9,6.20001,464.7,3.077,3.174,--
    100  05/12/2026,100,05/12/2026,Short term,3.064,--,--,3.098,-0.046,3.064,-4.6,3.4,309.8,3.077,3.174,--
    50  05/15/2026,50,05/15/2026,Short term,3.042,--,--,3.098,-0.046,3.042,-2.3,2.8,154.9,3.077,3.174,--
    GRNY +200 Shares (2 lots),200,03/16/2026,Short term,2.5059675,2.768,0.003,2.768,0.003,2.5059675,0.6,52.4065,553.6,2.765,2.776,--
    150  03/16/2026,150,03/16/2026,Short term,2.447,--,--,2.768,0.003,2.447,0.45,48.15,415.2,2.765,2.776,--
    50  05/15/2026,50,05/15/2026,Short term,2.68287,--,--,2.768,0.003,2.68287,0.15,4.2565,138.4,2.765,2.776,--
    IAUM +575 Shares (7 lots),575,02/06/2026,Short term,4.4826913,4.026,0.025,4.026,0.025,4.4826913,14.375,-262.5974975,2314.95,4.021,4.026,--
    50  02/06/2026,50,02/06/2026,Short term,4.9257,--,--,4.026,0.025,4.9257,1.25,-44.985,201.3,4.021,4.026,--
    50  03/16/2026,50,03/16/2026,Short term,5.005,--,--,4.026,0.025,5.005,1.25,-48.95,201.3,4.021,4.026,--
    75  03/18/2026,75,03/18/2026,Short term,4.831,--,--,4.026,0.025,4.831,1.875,-60.375,301.95,4.021,4.026,--
    75  05/27/2026,75,05/27/2026,Short term,4.4275,--,--,4.026,0.025,4.4275,1.875,-30.1125,301.95,4.021,4.026,--
    100  06/03/2026,100,06/03/2026,Short term,4.4225,--,--,4.026,0.025,4.4225,2.5,-39.65,402.6,4.021,4.026,--
    100  06/11/2026,100,06/11/2026,Short term,4.06,--,--,4.026,0.025,4.06,2.5,-3.4,402.6,4.021,4.026,--
    125  06/15/2026,125,06/15/2026,Short term,4.307,--,--,4.026,0.025,4.307,3.125,-35.125,503.25,4.021,4.026,--
    IBIT +600 Shares (2 lots),600,06/24/2026,Short term,3.4516666,3.4,0.071,3.4,0.071,3.4516666,42.6,-30.99996,2040,3.41,3.414,--
    400  06/24/2026,400,06/24/2026,Short term,3.456,--,--,3.4,0.071,3.456,28.4,-22.4,1360,3.41,3.414,--
    200  06/24/2026,200,06/24/2026,Short term,3.443,--,--,3.4,0.071,3.443,14.2,-8.6,680,3.41,3.414,--
    IFRA +25 Shares (1 lot),25,05/08/2026,Short term,6.149,6.189,-0.115,6.189,-0.115,6.149,-2.875,1,154.725,6.15,6.55,--
    25  05/08/2026,25,05/08/2026,Short term,6.149,--,--,6.189,-0.115,6.149,-2.875,1,154.725,6.15,6.55,--
    IWM +13 Shares (2 lots),13,04/27/2026,Short term,27.9925384,29.932,-0.113,29.932,-0.113,27.9925384,-1.469,25.2130008,389.116,29.904,29.909,--
    6  04/27/2026,6,04/27/2026,Short term,27.684,--,--,29.932,-0.113,27.684,-0.678,13.488,179.592,29.904,29.909,--
    7  05/12/2026,7,05/12/2026,Short term,28.257,--,--,29.932,-0.113,28.257,-0.791,11.725,209.524,29.904,29.909,--
    MSFT +60 Shares (4 lots),60,06/03/2026,Short term,39.95525,38.428,1.126,38.428,1.126,39.95525,67.56,-91.635,2305.68,38.395,38.399,2026-07-29
    25  06/03/2026,25,06/03/2026,Short term,42.663,--,--,38.428,1.126,42.663,28.15,-105.875,960.7,38.395,38.399,--
