"Account 900001001 Positions, as of 07/01/26 at 07:49 PM EST"
Position,Qty,Date Acquired,Term,Cost Basis,U/L Price,U/L Change,Mark,Mark Chg,Net Cost Basis,Today's Net Gain,Open Net Gain,Market Value,Bid,Ask,Earnings Date
    AEM +70 Shares (4 lots),70,06/09/2026,Short term,15.7300428,15.485,-0.028,15.485,-0.028,15.7300428,-1.96,-17.152996,1083.95,15.415,15.44,2026-07-29
    15  06/09/2026,15,06/09/2026,Short term,15.678,--,--,15.485,-0.028,15.678,-0.42,-2.895,232.275,15.415,15.44,--
    25  06/10/2026,25,06/10/2026,Short term,15.248,--,--,15.485,-0.028,15.248,-0.7,5.925,387.125,15.415,15.44,--
    15  06/18/2026,15,06/18/2026,Short term,16.944,--,--,15.485,-0.028,16.944,-0.42,-21.885,232.275,15.415,15.44,--
    15  06/29/2026,15,06/29/2026,Short term,15.3715333,--,--,15.485,-0.028,15.3715333,-0.42,1.7020005,232.275,15.415,15.44,--
    AGX +29 Shares (6 lots),29,05/07/2026,Short term,71.6990689,76.456,-3.399,76.456,-3.399,71.6990689,-98.571,137.9510019,2217.224,76.376,77.78,2026-09-03
    3  05/07/2026,3,05/07/2026,Short term,71.4326667,--,--,76.456,-3.399,71.4326667,-10.197,15.0699999,229.368,76.376,77.78,--
    5  06/15/2026,5,06/15/2026,Short term,66.601,--,--,76.456,-3.399,66.601,-16.995,49.275,382.28,76.376,77.78,--
    5  06/16/2026,5,06/16/2026,Short term,69.039,--,--,76.456,-3.399,69.039,-16.995,37.085,382.28,76.376,77.78,--
    5  06/24/2026,5,06/24/2026,Short term,73.1408,--,--,76.456,-3.399,73.1408,-16.995,16.576,382.28,76.376,77.78,--
    7  06/24/2026,7,06/24/2026,Short term,73.6495714,--,--,76.456,-3.399,73.6495714,-23.793,19.6450002,535.192,76.376,77.78,--
    4  06/26/2026,4,06/26/2026,Short term,76.381,--,--,76.456,-3.399,76.381,-13.596,0.3,305.824,76.376,77.78,--
    AMZN +150 Shares (9 lots),150,05/11/2026,Short term,25.7408666,24.17,0.336,24.17,0.336,25.7408666,50.4,-235.62999,3625.5,24.23,24.259,2026-07-30
    10  05/11/2026,10,05/11/2026,Short term,27.2895,--,--,24.17,0.336,27.2895,3.36,-31.195,241.7,24.23,24.259,--
    10  05/12/2026,10,05/12/2026,Short term,26.3765,--,--,24.17,0.336,26.3765,3.36,-22.065,241.7,24.23,24.259,--
    15  05/26/2026,15,05/26/2026,Short term,26.529,--,--,24.17,0.336,26.529,5.04,-35.385,362.55,24.23,24.259,--
    20  05/29/2026,20,05/29/2026,Short term,27.101,--,--,24.17,0.336,27.101,6.72,-58.62,483.4,24.23,24.259,--
    15  06/01/2026,15,06/01/2026,Short term,26.425,--,--,24.17,0.336,26.425,5.04,-33.825,362.55,24.23,24.259,--
    10  06/02/2026,10,06/02/2026,Short term,25.726,--,--,24.17,0.336,25.726,3.36,-15.56,241.7,24.23,24.259,--
    10  06/03/2026,10,06/03/2026,Short term,25.44,--,--,24.17,0.336,25.44,3.36,-12.7,241.7,24.23,24.259,--
    10  06/03/2026,10,06/03/2026,Short term,25.148,--,--,24.17,0.336,25.148,3.36,-9.78,241.7,24.23,24.259,--
    50  06/15/2026,50,06/15/2026,Short term,24.5,--,--,24.17,0.336,24.5,16.8,-16.5,1208.5,24.23,24.259,--
    APP +5 Shares (1 lot),5,06/10/2026,Short term,50.154,56.461,4.938,56.461,4.938,50.154,24.69,31.535,282.305,56.1,56.199,2026-08-06
    5  06/10/2026,5,06/10/2026,Short term,50.154,--,--,56.461,4.938,50.154,24.69,31.535,282.305,56.1,56.199,--
    ARE +1350 Shares (14 lots),1350,10/13/2025,Short term,5.4114766,5.301,0.016,5.301,0.016,5.4114766,21.6,-149.14341,7156.35,5.223,5.388,2026-08-03
    60  10/13/2025,60,10/13/2025,Short term,7.357,--,--,5.301,0.016,7.357,0.96,-123.36,318.06,5.223,5.388,--
    40  02/09/2026,40,02/09/2026,Short term,5.53,--,--,5.301,0.016,5.53,0.64,-9.16,212.04,5.223,5.388,--
    25  06/03/2026,25,06/03/2026,Short term,5.2135,--,--,5.301,0.016,5.2135,0.4,2.1875,132.525,5.223,5.388,--
    100  06/05/2026,100,06/05/2026,Short term,5.23553,--,--,5.301,0.016,5.23553,1.6,6.547,530.1,5.223,5.388,--
    100  06/08/2026,100,06/08/2026,Short term,5.0796,--,--,5.301,0.016,5.0796,1.6,22.14,530.1,5.223,5.388,--
